Freq	DF_LOWSHELF(FREQ,350,3.5,0,48000)
+DF_HIGHSHELF(FREQ,3500,-2.5,0,48000)
320.068359	2.377653
320.434570	2.374202
320.800781	2.370749
321.166992	2.367295
321.533203	2.363839
321.899414	2.360381
322.265625	2.356922
322.631836	2.353462
322.998047	2.350000
323.364258	2.346537
323.730469	2.343073
324.096680	2.339607
324.462891	2.336141
324.829102	2.332673
325.195312	2.329203
325.561523	2.325733
325.927734	2.322261
326.293945	2.318789
326.660156	2.315315
327.026367	2.311841
327.392578	2.308365
327.758789	2.304888
328.125000	2.301411
328.491211	2.297932
328.857422	2.294453
329.223633	2.290973
329.589844	2.287492
329.956055	2.284010
330.322266	2.280527
330.688477	2.277044
331.054688	2.273560
331.420898	2.270076
331.787109	2.266590
332.153320	2.263105
332.519531	2.259618
332.885742	2.256131
333.251953	2.252644
333.618164	2.249156
333.984375	2.245668
334.350586	2.242179
334.716797	2.238690
335.083008	2.235200
335.449219	2.231711
335.815430	2.228220
336.181641	2.224730
336.547852	2.221240
336.914062	2.217749
337.280273	2.214258
337.646484	2.210767
338.012695	2.207276
338.378906	2.203784
338.745117	2.200293
339.111328	2.196802
339.477539	2.193310
339.843750	2.189819
340.209961	2.186328
340.576172	2.182836
340.942383	2.179345
341.308594	2.175854
341.674805	2.172364
342.041016	2.168873
342.407227	2.165383
342.773438	2.161893
343.139648	2.158403
343.505859	2.154914
343.872070	2.151425
344.238281	2.147936
344.604492	2.144448
344.970703	2.140960
345.336914	2.137473
345.703125	2.133986
346.069336	2.130500
346.435547	2.127014
346.801758	2.123529
347.167969	2.120044
347.534180	2.116560
347.900391	2.113077
348.266602	2.109595
348.632812	2.106113
348.999023	2.102632
349.365234	2.099151
349.731445	2.095672
350.097656	2.092193
350.463867	2.088715
350.830078	2.085238
351.196289	2.081762
351.562500	2.078287
351.928711	2.074813
352.294922	2.071340
352.661133	2.067867
353.027344	2.064396
353.393555	2.060926
353.759766	2.057457
354.125977	2.053989
354.492188	2.050523
354.858398	2.047057
355.224609	2.043593
355.590820	2.040130
355.957031	2.036668
356.323242	2.033207
356.689453	2.029748
357.055664	2.026290
357.421875	2.022834
357.788086	2.019378
358.154297	2.015925
358.520508	2.012472
358.886719	2.009021
359.252930	2.005572
359.619141	2.002124
359.985352	1.998678
360.351562	1.995233
360.717773	1.991790
361.083984	1.988348
361.450195	1.984908
361.816406	1.981469
362.182617	1.978033
362.548828	1.974598
362.915039	1.971164
363.281250	1.967733
363.647461	1.964303
364.013672	1.960875
364.379883	1.957449
364.746094	1.954025
365.112305	1.950602
365.478516	1.947182
365.844727	1.943763
366.210938	1.940346
366.577148	1.936932
366.943359	1.933519
367.309570	1.930108
367.675781	1.926699
368.041992	1.923293
368.408203	1.919888
368.774414	1.916485
369.140625	1.913085
369.506836	1.909687
369.873047	1.906290
370.239258	1.902897
370.605469	1.899505
370.971680	1.896115
371.337891	1.892728
371.704102	1.889343
372.070312	1.885960
372.436523	1.882580
372.802734	1.879202
373.168945	1.875826
373.535156	1.872453
373.901367	1.869082
374.267578	1.865713
374.633789	1.862347
375.000000	1.858983
375.366211	1.855622
375.732422	1.852263
376.098633	1.848907
376.464844	1.845554
376.831055	1.842203
377.197266	1.838854
377.563477	1.835508
377.929688	1.832165
378.295898	1.828824
378.662109	1.825486
379.028320	1.822151
379.394531	1.818818
379.760742	1.815488
380.126953	1.812161
380.493164	1.808837
380.859375	1.805515
381.225586	1.802196
381.591797	1.798880
381.958008	1.795567
382.324219	1.792256
382.690430	1.788949
383.056641	1.785644
383.422852	1.782342
383.789062	1.779043
384.155273	1.775747
384.521484	1.772454
384.887695	1.769164
385.253906	1.765877
385.620117	1.762593
385.986328	1.759312
386.352539	1.756034
386.718750	1.752759
387.084961	1.749487
387.451172	1.746218
387.817383	1.742953
388.183594	1.739690
388.549805	1.736431
388.916016	1.733174
389.282227	1.729921
389.648438	1.726671
390.014648	1.723424
390.380859	1.720181
390.747070	1.716941
391.113281	1.713704
391.479492	1.710470
391.845703	1.707239
392.211914	1.704012
392.578125	1.700788
392.944336	1.697567
393.310547	1.694350
393.676758	1.691136
394.042969	1.687926
394.409180	1.684719
394.775391	1.681515
395.141602	1.678314
395.507812	1.675117
395.874023	1.671924
396.240234	1.668734
396.606445	1.665547
396.972656	1.662364
397.338867	1.659185
397.705078	1.656009
398.071289	1.652836
398.437500	1.649667
398.803711	1.646501
399.169922	1.643339
399.536133	1.640181
399.902344	1.637026
400.000000	1.636186
400.268555	1.633875
400.634766	1.630728
401.000977	1.627584
401.367188	1.624443
401.733398	1.621307
402.099609	1.618174
402.465820	1.615044
402.832031	1.611919
403.198242	1.608797
403.564453	1.605679
403.930664	1.602564
404.296875	1.599453
404.663086	1.596346
405.029297	1.593243
405.395508	1.590144
405.761719	1.587048
406.127930	1.583956
406.494141	1.580868
406.860352	1.577784
407.226562	1.574703
407.592773	1.571626
407.958984	1.568554
408.325195	1.565485
408.691406	1.562420
409.057617	1.559358
409.423828	1.556301
409.790039	1.553248
410.156250	1.550198
410.522461	1.547153
410.888672	1.544111
411.254883	1.541073
411.621094	1.538039
411.987305	1.535010
412.353516	1.531984
412.719727	1.528962
413.085938	1.525944
413.452148	1.522930
413.818359	1.519920
414.184570	1.516914
414.550781	1.513912
414.916992	1.510914
415.283203	1.507921
415.649414	1.504931
416.015625	1.501945
416.381836	1.498964
416.748047	1.495986
417.114258	1.493012
417.480469	1.490043
417.846680	1.487078
418.212891	1.484116
418.579102	1.481159
418.945312	1.478206
419.311523	1.475258
419.677734	1.472313
420.043945	1.469372
420.410156	1.466436
420.776367	1.463503
421.142578	1.460575
421.508789	1.457651
421.875000	1.454732
422.241211	1.451816
422.607422	1.448905
422.973633	1.445997
423.339844	1.443094
423.706055	1.440196
424.072266	1.437301
424.438477	1.434411
424.804688	1.431525
425.170898	1.428643
425.537109	1.425765
425.903320	1.422892
426.269531	1.420022
426.635742	1.417158
427.001953	1.414297
427.368164	1.411441
427.734375	1.408588
428.100586	1.405741
428.466797	1.402897
428.833008	1.400058
429.199219	1.397223
429.565430	1.394392
429.931641	1.391566
430.297852	1.388744
430.664062	1.385926
431.030273	1.383113
431.396484	1.380304
431.762695	1.377499
432.128906	1.374699
432.495117	1.371903
432.861328	1.369111
433.227539	1.366324
433.593750	1.363541
433.959961	1.360762
434.326172	1.357988
434.692383	1.355218
435.058594	1.352452
435.424805	1.349691
435.791016	1.346934
436.157227	1.344182
436.523438	1.341434
436.889648	1.338690
437.255859	1.335951
437.622070	1.333216
437.988281	1.330485
438.354492	1.327759
438.720703	1.325037
439.086914	1.322320
439.453125	1.319607
439.819336	1.316899
440.185547	1.314195
440.551758	1.311495
440.917969	1.308800
441.284180	1.306109
441.650391	1.303423
442.016602	1.300741
442.382812	1.298063
442.749023	1.295390
443.115234	1.292721
443.481445	1.290057
443.847656	1.287397
444.213867	1.284742
444.580078	1.282091
444.946289	1.279444
445.312500	1.276802
445.678711	1.274165
446.044922	1.271532
446.411133	1.268903
446.777344	1.266279
447.143555	1.263659
447.509766	1.261043
447.875977	1.258433
448.242188	1.255826
448.608398	1.253224
448.974609	1.250627
449.340820	1.248033
449.707031	1.245445
450.073242	1.242861
450.439453	1.240281
450.805664	1.237706
451.171875	1.235135
451.538086	1.232569
451.904297	1.230007
452.270508	1.227449
452.636719	1.224896
453.002930	1.222348
453.369141	1.219804
453.735352	1.217264
454.101562	1.214729
454.467773	1.212199
454.833984	1.209673
455.200195	1.207151
455.566406	1.204634
455.932617	1.202121
456.298828	1.199613
456.665039	1.197109
457.031250	1.194609
457.397461	1.192114
457.763672	1.189624
458.129883	1.187138
458.496094	1.184657
458.862305	1.182179
459.228516	1.179707
459.594727	1.177239
459.960938	1.174775
460.327148	1.172316
460.693359	1.169861
461.059570	1.167411
461.425781	1.164965
461.791992	1.162523
462.158203	1.160087
462.524414	1.157654
462.890625	1.155226
463.256836	1.152802
463.623047	1.150383
463.989258	1.147969
464.355469	1.145558
464.721680	1.143152
465.087891	1.140751
465.454102	1.138354
465.820312	1.135962
466.186523	1.133574
466.552734	1.131190
466.918945	1.128811
467.285156	1.126436
