FREQ	GAIN
198.218000	0.315624
198.486328	0.313972
198.585000	0.313367
198.852539	0.311733
198.951000	0.311134
199.218750	0.309513
199.317000	0.308920
199.584961	0.307310
199.683000	0.306724
199.951172	0.305126
200.000000	0.304836
200.049000	0.304545
200.317383	0.302959
200.416000	0.302378
200.683594	0.300810
200.782000	0.300235
201.049805	0.298678
201.148000	0.298109
201.416016	0.296564
201.514000	0.296001
201.782227	0.294466
201.880000	0.293909
202.148438	0.292386
202.247000	0.291829
202.514648	0.290323
202.613000	0.289771
202.880859	0.288276
202.979000	0.287730
203.247070	0.286246
203.345000	0.285705
203.613281	0.284232
203.711000	0.283697
203.979492	0.282234
204.078000	0.281699
204.345703	0.280252
204.444000	0.279723
204.711914	0.278286
204.810000	0.277762
205.078125	0.276336
205.176000	0.275818
205.444336	0.274402
205.542000	0.273888
205.810547	0.272483
205.909000	0.271969
206.176758	0.270579
206.275000	0.270071
206.542969	0.268690
206.641000	0.268187
206.909180	0.266817
207.007000	0.266319
207.275391	0.264958
207.374000	0.264460
207.641602	0.263114
207.740000	0.262621
208.007812	0.261285
208.106000	0.260797
208.374023	0.259470
208.472000	0.258987
208.740234	0.257669
208.838000	0.257191
209.106445	0.255883
209.205000	0.255405
209.472656	0.254111
209.571000	0.253637
209.838867	0.252352
209.937000	0.251884
210.205078	0.250608
210.303000	0.250144
210.571289	0.248877
210.669000	0.248418
210.937500	0.247160
211.036000	0.246700
211.303711	0.245456
211.402000	0.245001
211.669922	0.243766
211.768000	0.243315
212.036133	0.242088
212.134000	0.241642
212.402344	0.240424
212.500000	0.239983
212.768555	0.238773
212.867000	0.238331
213.134766	0.237135
213.233000	0.236697
213.500977	0.235509
213.599000	0.235076
213.867188	0.233896
213.965000	0.233467
214.233398	0.232295
214.331000	0.231871
214.599609	0.230707
214.698000	0.230282
214.965820	0.229131
215.064000	0.228710
215.332031	0.227567
215.430000	0.227151
215.698242	0.226015
215.796000	0.225603
216.064453	0.224475
216.163000	0.224063
216.430664	0.222947
216.529000	0.222539
216.796875	0.221431
216.895000	0.221027
217.163086	0.219926
217.261000	0.219526
217.529297	0.218433
217.627000	0.218036
217.895508	0.216951
217.994000	0.216554
218.261719	0.215481
218.360000	0.215088
218.627930	0.214021
218.726000	0.213632
218.994141	0.212573
219.092000	0.212188
219.360352	0.211136
219.458000	0.210754
219.726562	0.209709
219.825000	0.209328
220.092773	0.208293
220.191000	0.207916
220.458984	0.206889
220.557000	0.206514
220.825195	0.205494
220.923000	0.205124
221.191406	0.204110
221.289000	0.203743
221.557617	0.202737
221.656000	0.202370
221.923828	0.201374
222.022000	0.201010
222.290039	0.200021
222.388000	0.199661
222.656250	0.198678
222.754000	0.198321
223.022461	0.197345
223.121000	0.196989
223.388672	0.196023
223.487000	0.195669
223.754883	0.194710
223.853000	0.194360
