*--JBL Synthesis curve
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, -2.6,0)
*	+df_lowshelf	(freq,48000	,   43.750, 6.3,0)
*	+df_lowshelf	(freq,48000	,   87.500, 2.5,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.2,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.1,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.0,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.7,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.7,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
5273.803223	-2.244652
5273.803711	-2.244652
5274.000000	-2.244686
5274.169434	-2.244715
5274.169922	-2.244715
5587.645996	-2.297172
5587.646484	-2.297172
5587.700000	-2.297181
5588.012207	-2.297232
5588.012695	-2.297232
5919.799316	-2.349310
5919.799805	-2.349310
5919.900000	-2.349326
5920.165527	-2.349366
5920.166016	-2.349366
6271.728027	-2.400712
6271.728516	-2.400712
6271.900000	-2.400736
6272.094238	-2.400763
6272.094727	-2.400763
6644.896973	-2.451148
6644.897461	-2.451148
6644.900000	-2.451149
6645.263184	-2.451196
6645.263672	-2.451196
7039.672363	-2.500517
7039.672852	-2.500517
7040.000000	-2.500556
7040.038574	-2.500561
7040.039062	-2.500561
7458.251465	-2.549291
7458.251953	-2.549292
7458.600000	-2.549331
7458.617676	-2.549333
7458.618164	-2.549333
7902.099121	-2.598186
7902.099609	-2.598186
7902.100000	-2.598186
7902.465332	-2.598226
7902.465820	-2.598226
8371.947266	-2.648108
8371.948242	-2.648108
8372.000000	-2.648114
8372.313477	-2.648147
8372.314453	-2.648147
8869.627930	-2.700197
8869.628906	-2.700197
8869.800000	-2.700215
8869.994141	-2.700236
8869.995117	-2.700236
9396.971680	-2.755468
9396.972656	-2.755468
9397.300000	-2.755503
9397.337891	-2.755507
9397.338867	-2.755507
9955.809570	-2.814516
9955.810547	-2.814516
9956.100000	-2.814547
9956.175781	-2.814555
9956.176758	-2.814555
10547.972656	-2.877198
10547.973633	-2.877198
10548.100000	-2.877212
10548.338867	-2.877237
10548.339844	-2.877237
11175.291992	-2.942391
11175.292969	-2.942391
11175.300000	-2.942392
11175.658203	-2.942428
11175.659180	-2.942429
11839.598633	-3.007949
11839.599609	-3.007949
11839.800000	-3.007968
11839.964844	-3.007984
11839.965820	-3.007984
12543.456055	-3.071054
12543.457031	-3.071054
12543.800000	-3.071083
12543.822266	-3.071085
12543.823242	-3.071085
13289.793945	-3.128722
13289.794922	-3.128722
13289.800000	-3.128723
13290.160156	-3.128748
13290.161133	-3.128748
14079.710938	-3.178344
14079.711914	-3.178344
14080.000000	-3.178360
14080.077148	-3.178364
14080.078125	-3.178364
14916.869141	-3.218532
14916.870117	-3.218532
14917.200000	-3.218545
14917.235352	-3.218547
14917.236328	-3.218547
15804.198242	-3.249031
15804.199219	-3.249031
15804.200000	-3.249031
15804.564453	-3.249042
15804.565430	-3.249042
16743.894531	-3.270609
16744.000000	-3.270611
16744.261719	-3.270615
17739.257812	-3.284735
17739.600000	-3.284738
17739.621094	-3.284738
17739.625000	-3.284738
18794.308594	-3.293145
18794.312500	-3.293145
18794.600000	-3.293147
18794.675781	-3.293147
19911.984375	-3.297535
19911.988281	-3.297535
19912.127000	-3.297536
19912.351562	-3.297536
21096.163600	-3.299401
